Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,stat_inf_class,clustering
0xbdfe07c63e4dc81838c15148109fbfadeceeeadd,0xbdfe07c63e4dc81838c15148109fbfadeceeeadd,,5,0,5,7,0,7,0,0,0,0,0.001543,0,0.000028,0,2300,27,29,0
0xee999f732d6768ccaf2cea4226ad409e5e298729,0xee999f732d6768ccaf2cea4226ad409e5e298729,,5,2,7,15,5,20,8,0.218507,0.238206,14.017867,0.001543,0,0.000028,0,10613,27,29,0
0x6f9a817971bbf0c336c0baaefea73112f6f30c42,0x6f9a817971bbf0c336c0baaefea73112f6f30c42,,6,0,6,22,0,22,0,0,0,0,0.001544,0,0.000029,0,770,27,29,0
0xeec623792fc5d4299b67c462d56d91a66ecb636e,0xeec623792fc5d4299b67c462d56d91a66ecb636e,,5,0,5,34,0,34,0,0,0,0,0.001245,0,0.000028,0,2299,27,29,0
0xd37d21c32874f2681727230b3f988eedf6f0cfb7,0xd37d21c32874f2681727230b3f988eedf6f0cfb7,,3,0,3,31,0,31,0,0,0,0,0.000926,0,0.000028,0,2074,27,29,0
0x327a31aab38cf9d3a4ce819d668c60b070485c0b,0x327a31aab38cf9d3a4ce819d668c60b070485c0b,,5,0,5,10,0,10,0,0,0,0,0.007087,0,0.000028,0,2073,27,29,0.3
0xe8199444ab804af05f0ec89bbef2b217102886b2,0xe8199444ab804af05f0ec89bbef2b217102886b2,,5,0,5,12,0,12,0,0,0,0,0.001543,0,0.000028,0,2072,27,29,0
0x2e314ca8185f41cdc24e4c828b29dca4c482f138,0x2e314ca8185f41cdc24e4c828b29dca4c482f138,,6,0,6,152,0,152,0,0,0,0,0.007395,0,0.000028,0,2071,27,29,0.266667
0xfbc8071c3cd469c851d4efd6712793173db4c429,0xfbc8071c3cd469c851d4efd6712793173db4c429,,5,0,5,26,0,26,0,0,0,0,0.001543,0,0.000028,0,2298,27,29,0
0x64be42dd1c32faed3d4cdf27d0aa956b66225e91,0x64be42dd1c32faed3d4cdf27d0aa956b66225e91,,2,0,2,3,0,3,0,0,0,0,0.000024,0,0.000028,0,10604,24,132,0
0x24c8b43f8c8703add9f590f8d8ea12c5420bff4e,0x24c8b43f8c8703add9f590f8d8ea12c5420bff4e,,4,0,4,9,0,9,0,0,0,0,0.001234,0,0.000028,0,2297,27,29,0
0xaac62a6b186c620480158d51043afb2a071ef93e,0xaac62a6b186c620480158d51043afb2a071ef93e,,5,0,5,17,0,17,0,0,0,0,0.001543,0,0.000028,0,2070,27,29,0
0x0119de84331fe00c8ba18dbc1e709f4d3a0ed770,0x0119de84331fe00c8ba18dbc1e709f4d3a0ed770,,4,0,4,11,0,11,0,0,0,0,0.004006,0,0.000028,0,2069,27,29,0.25
0xff4624d1db6241ed6946001872a6241a6e385183,0xff4624d1db6241ed6946001872a6241a6e385183,,4,0,4,13,0,13,0,0,0,0,0.001234,0,0.000028,0,2068,27,29,0
0x30ef01137bbf938ff93f9a0653d943ff71f02b4f,0x30ef01137bbf938ff93f9a0653d943ff71f02b4f,,5,0,5,42,0,42,0,0,0,0,0.001543,0,0.000028,0,2719,27,29,0
0xb73fa689f07a8b9c20d1478fd11f9710b28d4bc3,0xb73fa689f07a8b9c20d1478fd11f9710b28d4bc3,,5,0,5,28,0,28,0,0,0,0,0.001543,0,0.000028,0,2296,27,29,0
0x5e785e1c4f37ebdfbc3d031ba6612c8b5934fdbd,0x5e785e1c4f37ebdfbc3d031ba6612c8b5934fdbd,,8,0,8,43,0,43,0,0,0,0,0.012646,0,0.000037,0,2067,27,29,0.25
0xb1162a811e2c99619534bcd52510b94386cdb4c1,0xb1162a811e2c99619534bcd52510b94386cdb4c1,,5,0,5,13,0,13,0,0,0,0,0.001543,0,0.000028,0,2066,27,29,0
0x74b1a77dab6089106b19abd3102a878d928c317f,0x74b1a77dab6089106b19abd3102a878d928c317f,,5,3,8,116,26,142,7,0.280598,0.299043,478.482213,0.001543,0.000002,0.000028,0,10613,27,29,0
0xd083107680600e93ee7602f779c9dc2db8a3d62b,0xd083107680600e93ee7602f779c9dc2db8a3d62b,,6,0,6,17,0,17,0,0,0,0,0.015711,0,0.000028,0,2065,27,29,0.166667
0x3084757e6ee0412a388518768ece5b4d751c6e38,0x3084757e6ee0412a388518768ece5b4d751c6e38,,3,0,3,11,0,11,0,0,0,0,0.000926,0,0.000028,0,2503,27,29,0
0xa6bc725ba6200805bdfb16d2372b6967ff54bca3,0xa6bc725ba6200805bdfb16d2372b6967ff54bca3,,3,6,9,3,12,15,1,1,1,637.61361,0.000046,0.000002,0.000031,0,9824,4,140,0.069444
0x7c510a9a0e9a660a5e690cd91c5be222bea89c49,0x7c510a9a0e9a660a5e690cd91c5be222bea89c49,,3,0,3,16,0,16,0,0,0,0,0.000926,0,0.000028,0,2064,27,29,0
0x5fcda0a27c86f13e7b0e0391b174dfe5ee26e2fc,0x5fcda0a27c86f13e7b0e0391b174dfe5ee26e2fc,,5,0,5,15,0,15,0,0,0,0,0.001543,0,0.000028,0,2295,27,29,0
0x14edaa0e5aa225aad91c721181cc7fe783e21bae,0x14edaa0e5aa225aad91c721181cc7fe783e21bae,,6,0,6,24,0,24,0,0,0,0,0.001663,0,0.000028,0,2063,27,29,0.166667
0x33621620d88e62743c0c75e207985d76d32b9ebb,0x33621620d88e62743c0c75e207985d76d32b9ebb,,5,0,5,34,0,34,0,0,0,0,0.001543,0,0.000028,0,2062,27,29,0
0x51cfc4d3ad8811f8ec2ae3d0a19071245b9e1f98,0x51cfc4d3ad8811f8ec2ae3d0a19071245b9e1f98,,5,0,5,13,0,13,0,0,0,0,0.001543,0,0.000028,0,2061,27,29,0
0xe416fd46fde7adc3399f0544d33fc4716be52f73,0xe416fd46fde7adc3399f0544d33fc4716be52f73,,5,0,5,24,0,24,0,0,0,0,0.001543,0,0.000028,0,2294,27,29,0
0xbfa4a1233aa2fa4906ac592e3c4f189fcb078d03,0xbfa4a1233aa2fa4906ac592e3c4f189fcb078d03,,5,0,5,22,0,22,0,0,0,0,0.012631,0,0.000028,0,2060,27,29,0.2
0xaf3890841e002dbf2a5f06277c222d66d60bbf99,0xaf3890841e002dbf2a5f06277c222d66d60bbf99,,5,0,5,28,0,28,0,0,0,0,0.001543,0,0.000028,0,2718,27,29,0
0x42d8edef98ba8ca366cf690c2b9ca4f5bec78789,0x42d8edef98ba8ca366cf690c2b9ca4f5bec78789,,6,0,6,107,0,107,0,0,0,0,0.004072,0,0.000028,0,2059,27,29,0.1
